"age","x","mat","F"
1,NA,0,0
2,NA,0,0
3,0.01005,0.00576368876080692,0.00964654178674352
4,0.07005,0.02,0.06865
5,0.19245,0.0384615384615385,0.189757692307692
6,0.3202,0.100436681222707,0.31316943231441
7,0.45775,0.353174603174603,0.433027777777778
8,0.55755,0.590361445783133,0.516224698795181
9,0.59995,0.814049586776859,0.54296652892562
10,0.66385,0.917647058823529,0.599614705882353
11,0.70605,0.969230769230769,0.638203846153846
12,0.7175,1,0.6475
13,0.54305,1,0.47305
14,0.5206,1,0.4506
15,0.5206,1,0.4506
