"year","temp","recr"
1950,4.7662300511894,1
1951,4.79605841613972,1
1952,4.78458596808191,1
1953,4.80753086419753,1
1954,4.89319180969588,1
1955,4.85800963565191,1
1956,4.75399277326107,1
1957,4.78458596808191,1
1958,4.82282746160795,1
1959,4.72339957844023,1
1960,4.70810298102981,1
1961,4.69280638361939,1
1962,4.63161999397772,1
1963,4.68898223426679,1
1964,4.82282746160795,1
1965,4.76928937067149,1
1966,4.70810298102981,1
1967,4.67750978620897,1
1968,4.68260865201245,1
1969,4.63926829268293,1
1970,4.60485094850949,1
1971,4.69280638361939,1
1972,4.7004546823246,1
1973,4.69586570310148,1
1974,4.78993977717555,1
1975,4.76317073170732,1
1976,4.74175549533274,1
1977,4.75705209274315,1
1978,4.70810298102981,1
1979,4.63161999397772,1
1980,4.66527250828064,1
1981,4.68260865201245,1
1982,4.82384723476865,1
1983,4.77846732911774,1
1984,4.7769376693767,1
1985,4.79988256549233,1
1986,4.85597008933053,1
1987,4.98573622402891,1
1988,5.07139716952725,1
1989,5.16700090334237,1
1990,5.30161096055405,1
1991,5.22818729298405,1
1992,5.07139716952725,1
1993,5.0293315266486,1
1994,5.12111111111111,1
1995,5.16700090334237,1
1996,5.14405600722674,1
1997,5.26031014754592,1
1998,5.30467028003614,1
1999,5.36891598915989,1
2000,5.46146040349293,1
2001,5.50658536585366,1
2002,5.58000903342367,1
2003,5.61060222824451,1
2004,5.67790725685035,1
2005,5.69932249322494,1
2006,5.67178861788618,1
2007,5.67178861788618,1
2008,5.72073772959952,1
2009,5.78396366556259,1
2010,5.84846431797652,1
2011,5.86299608551642,1
2012,5.82475459199037,1
2013,5.77886479975911,1
2014,5.80945799457995,1
